Should I practice social distancing|Together, we can slow the spread of COVID-19 by making a conscious effort to keep a physical distance between each other. Physical (social) distancing is proven to be one of the most effective ways to reduce the spread of illness during an outbreak. This means making changes in your everyday routines to minimize close contact with others, including:avoiding crowded places and non-essential gatherings avoiding common greetings, such as handshakes limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 2 metres) from others|100
Should I practice social distancing|Staying at least six feet (2 meters) from other people can help reduce the spread. But this does not mean for sure that you will not get the virus.|86
Should I practice social distancing|If you are having symptoms of COVID-19, call your health care provider to be tested. If you do not have a health care provider, call 2-1-1 to be connected with a local community or hospital-connected clinic for referral to a test site. Health care providers are encouraged to order a test for any child or adult who is showing symptoms of COVID-19, even if their symptoms are mild.|0
Should I practice social distancing|Face masks, including fabric ones, are likely only helpful in preventing people who have COVID-19 from spreading it to others. If you wear a cloth mask, you should still use the same social distancing measures as you would if you were not wearing a mask. This means you should stay at least 6 feet (2 meters) away from other people, wash your hands frequently, and avoid touching your face or eyes.When wearing a mask, make sure it covers your nose and mouth. Wash the mask after you use it every time. When handling the mask, act as though the front of the mask is contaminated. Don't touch the front of the mask when you take it off or put it on.It is not recommended that the general public wear surgical or N95 masks at this time. That is because there are not enough of these masks for health care workers. Health care workers need these masks to stay safe and to take care of sick patients. If you have extra surgical or N95 masks, please donate them to your local healthcare facility.|0
Should I practice social distancing|Social distancing means maintaining a physical distance (approximately 6 feet or 2 meters) from others you do not live with. This includes when you're inside a store or outside for exercise. The COVID-19 virus spreads easily from person-to-person. It travels through the air when a sick person coughs, sneezes or talks. One way to contain the spread of COVID-19 is to stop people from sharing it. Without a vaccine or treatment, we can help contain the virus by: Staying at home to protect others if you are sick. Staying home is still the best way to lower our risk of COVID-19, but small groups of 10 or fewer people are now allowed if health and safety precautions are followed. Learn how to safely connect with friends and family. Continuing to go outside, take walks, do essential errands while maintaining a physical distance from others and practicing proper hygiene. Remember that ticks are active this time of year. Find out how to Be Tick Smart and prevent tick bites. Wearing a cloth face mask or covering in public settings when a physical distance of at least 6 feet is difficult to maintain, especially at the grocery store, pharmacy, doctorâs office, hospital or other essential business or office, and on a crowded sidewalk or bike path. Washing your hands (adults and children) any time you go inside, before you eat, and before you spend time with people who are more vulnerable to the effects of COVID-19.|64
Someone from quarantaine came to my office and stayed 20min Is it a risk|Most people who get COVID-19 will be able to recover at home. If possible, have the sick household member use a separate room and bathroom. Try to have the sick family member stay away from other people as much as they can. Clean and sanitize your hands and home regularly.Don't share personal items like utensils, foods, and drinks.The sick person should stay at home except to get medical care. Please contact a health care provider right away if they have one of these severe symptoms: -Trouble breathing-Shortness of breath-Chest pain or pressure that won't go away -Feeling very tired or unable to wake up from sleeping -Lips or face look bluePlease keep in mind that this is not the full list. If someone in your house has one of these severe symptoms or something that worries you, please contact your medical provider.|14
Someone from quarantaine came to my office and stayed 20min Is it a risk|The risk of COVID-19 spreading from products or packaging shipped over a period of days or weeks is likely to be low. Currently, there is no evidence that COVID-19 has been spread from imported goods.|0
Someone from quarantaine came to my office and stayed 20min Is it a risk|You could be at higher risk of catching COVID-19 if many people have gotten COVID-19 near where you live. You could also have a higher risk if you visit places where many people are getting sick with COVID-19.Right now, in most places, the risk of catching COVID-19 is still low. But this is changing quickly in many cities and areas around the world.|0
Someone from quarantaine came to my office and stayed 20min Is it a risk|You can reduce your risk of getting sick by:1. Staying at home as much as you can. Only go out when you really need to (for groceries, for example) 2. If you do go out, keep at least 6 foot (2 meter) distance between you and other people. 3. Wash your hands with soap and water for at least 20 seconds, especially after blowing your nose, coughing, sneezing, using the restroom, coming home and before eating or makng food. ALWAYS wash your hands with soap and water if your hands are visibly dirty.4. If you don't have soap and water, use an alcohol-based hand sanitizer that has at least 60% alcohol. 5. Clean and disinfect surfaces that people touch a lot (e.g. tables, countertops, light switches, door knobs, cabinet handles). If you or someone in your family gets sick, stay at home, except when getting medical care, until your doctor says you no longer have to stay home. Cover your coughs and sneezes with tissues, and throw the tissue away.|15
Someone from quarantaine came to my office and stayed 20min Is it a risk|Generally, do not touch the body of someone who has died of COVID-19. We are still learning how COVID-19 spreads and if a deceased body can transmit the virus. One could get COVID-19 by touching a surface or object that has the virus on it, and then touching their face (like their mouth, nose, or eyes). Try to avoid kissing washing, and shrouding the body. If washing and shrouding the body are important in your culture or religion, work with your community cultural and religious leaders as well as funeral home staff to try to reduce exposure as much as possible. People who conduct these activities should wear disposable gloves. If fluid splashing is expected, more personal protective equipment may be needed, such as disposable gowns, goggles, and face masks.|0
I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk|The risk of COVID-19 spreading from products or packaging shipped over a period of days or weeks is likely to be low. Currently, there is no evidence that COVID-19 has been spread from imported goods.|0
I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk|Pregnant women should do the same things as everyone else to avoid COVID-19 infection, including: Avoid close contact with people who are sick. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; and after blowing your nose, coughing, or sneezing. If soap and water are not readily available, you can use an alcohol-based hand sanitizer that contains at least 60% alcohol. Clean and disinfect frequently-touched objects and surfaces using a regular household cleaning spray or wipe. Avoid touching your eyes, nose, and mouth with unwashed hands. Cover your cough or sneeze with a tissue, then throw the tissue in the trash and wash your hands. Stay home when you are sick. When you must go out, practice social distancing.|0
I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk|This is a rapidly evolving situation and the risk assessment may change daily. The latest updates are available on CDC’s Coronavirus Disease 2019 (COVID-19) website.|16
I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk|Because COVID-19 is a new disease, we are still learning how it affects pregnant women. At this time, there is no evidence to suggest that pregnant women are at a greater risk for more serious outcomes related to COVID-19 or that their developing child could be negatively affected by COVID-19. You can protect yourself from becoming ill by taking the following precautions:stay home as much as possible, except for important medical appointments talk to your doctor, obstetrician or midwife about the possibility of telephone or videoconference appointments avoid unnecessary visitors to your home wash your hands often with soap and water for at least 20 seconds use alcohol-based hand sanitizer if soap and water are not available practise physical distancing by keeping a distance of at least 2 metres from others avoid touching your mouth, nose and eyes avoid crowded places and peak-hours make limited trips to the store for essentials avoid travel by public transitFor more information, refer to our advice for motherson pregnancy, childbirth and caring for newborns. If you are pregnant and concerned about COVID-19, speak to your health care provider.|0
I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk|Generally, do not touch the body of someone who has died of COVID-19. We are still learning how COVID-19 spreads and if a deceased body can transmit the virus. One could get COVID-19 by touching a surface or object that has the virus on it, and then touching their face (like their mouth, nose, or eyes). Try to avoid kissing washing, and shrouding the body. If washing and shrouding the body are important in your culture or religion, work with your community cultural and religious leaders as well as funeral home staff to try to reduce exposure as much as possible. People who conduct these activities should wear disposable gloves. If fluid splashing is expected, more personal protective equipment may be needed, such as disposable gowns, goggles, and face masks.|0
What are the symptoms Is vomiting one of them|Those who are infected with COVID-19 may have little to no symptoms. You may not know you have symptoms of COVID-19 because they are similar to a cold or flu. Symptoms haveincluded:cough fever difficulty breathing pneumonia in both lungsIn severe cases, infection can leadto death.Symptoms may take up to 14 days to appear after exposure to COVID-19. This is the longest known incubation period for this disease.Recent evidence indicates that the virus can be transmitted to othersfrom someone who is infected but not showing symptoms. This includes peoplewho:have not yet developed symptoms (pre-symptomatic) never develop symptoms (asymptomatic)While experts know that these kinds of transmissions are happening amongthose in close contact or in close physical settings, it is not known to whatextent. This means it is extremely important to follow the proven preventative measures.Think you might have COVID-19? Take a self-assessment|87
What are the symptoms Is vomiting one of them|The time between exposure to the COVID-19 virus and onset of symptoms is called the “incubation period.” The incubation period for COVID-19 is typically 2 to 14 days, although in some cases it may be longer.|0
